distance,corridorRB,beginMi,endMi,roadway,from,to,startLat,startLong,endLat,endLong,order
0.002502, C005210E,1.779,2.597, Central \\ 1st Ave N +, Start 3 Lane, End 3 Lane,47.506463,-111.306022,47.506356,-111.288575,17
0.002511, C005210E,1.779,0, 37th St \\ 2nd Ave N +, Jct Park Dr Begin One Wa, Jct I-15 Central Ave Int,47.506454,-111.306023,47.507816,-111.316719,18
0.00252, C005210E,1.779,0, 37th St \\ 2nd Ave N +, Jct Park Dr Begin One Wa, Jct I-15 Central Ave Int,47.506445,-111.306023,47.507807,-111.31672,19
0.002833, C005238N,0,0.57, 9th Street NW, Jct Central Ave W, Jct Northwest Bypas,47.507825,-111.327122,47.516076,-111.327098,20
0.002917, C005238N,0.57,0, 9th Street NW, Jct Northwest Bypas, Jct Central Ave W,47.516076,-111.327098,47.507825,-111.327122,21
0.00333, C005225N,0,3.067, Park Garden \\ 14th St +, Jct Fox Farm Road, End At Urban Limits,47.479499,-111.327619,47.500874,-111.370274,22
0.00358, C005239N,0,0.354, 16th Ave. NW \\ Division, Jct 3rd ST NW, Jct Smelter Ave,47.519963,-111.309186,47.524576,-111.310351,23
0.004497, C005220S,0,4.267, Fox Farm Road, Jct N-60 10th Ave S, End Of Route,47.490056,-111.328786,47.428412,-111.326683,24
0.004941, C005216E,1.637,0, 8th Avenue N, Jct 26th St N, Jct 6th St N,47.513906,-111.262416,47.514054,-111.2974,25
0.005073, C005208N,0,1.64, Park Dr. \\ 2nd Street S, Jct 6th St N, Jct N-60 10th Ave S,47.514038,-111.297391,47.494099,-111.302942,26
